Location_zh,Location_en,Review,Title,Date,Rating
高雄流行音樂中心,Kaohsiung Music Center,建築設計很有未來感，拍照起來超酷。,假期好選擇,2024-12-23,5
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,假期好選擇,2025-01-04,4
澄清湖,Chengcing Lake,湖邊野餐加賞鳥行程，療癒又知性。,景觀超讚,2024-09-06,4
美麗島捷運站光之穹頂,Formosa Boulevard Dome of Light,全台最美捷運站絕非浪得虛名，藝術感爆棚。,推薦景點,2024-07-09,5
六合夜市,Liuhe Night Market,地點方便、攤位多元，是初次來高雄必逛夜市。,來N次還想再來,2024-05-01,5
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,推薦景點,2024-10-28,5
西子灣日落,Sizihwan Sunset,推薦傍晚來，騎 YouBike 看海吹風真是太享受了。,推薦景點,2024-09-06,4
駁二藝術特區,Pier-2 Art Center,週末來這走走，喝杯咖啡看展，心情都變好了。,推薦景點,2024-11-02,4
澄清湖,Chengcing Lake,湖邊野餐加賞鳥行程，療癒又知性。,來N次還想再來,2024-08-10,4
駁二藝術特區,Pier-2 Art Center,這裡真的很適合拍照，每個角落都像裝置藝術展。,重遊也不膩,2024-11-19,5
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,來N次還想再來,2024-05-22,5
